UUID (int),라벨 (enum),이름 (string),지점명 (string),지역 (string),주소 (string),전화번호 (string),한줄평 (string),즐겨찾기 (Bool),"별점 (float, .1f)",평일 영업시간 (String),주말 영업시간 (String),영업시간 비고 (String),분류 (enum),MIN (int),MAX (int),위도 (double),경도 (double)
1015,RED,순이,-,효자,경북 포항시 남구 효자동길7번길 5-1 1층 순이,0507-1343-6691,라멘/규동 맛집. 여기는 가게를 확장했는데도 늘 줄이 서있다. 다인원보다 소규모로 가기 좋음.,FALSE,null,11:30~20:30,11:30~20:30,매주 월요일 정기휴무,일식,10000,15000,129.329426,36.007953
1016,RED,효동피자,-,효자,경북 포항시 남구 효자동길5번길 6,054-273-4205,화덕피자 전문점. 가격이 좀 있긴 하지만 화덕피자가 꽤 맛있다. 파스타도 맛있는 편.,FALSE,null,11:30~22:00,11:30~22:00,-,피자,10000,20000,129.3296511,36.0080332
1017,RED,테츠로라멘,-,효자,"경북 포항시 남구 효자동길 1 , 1층 테츠로라멘",0507-1325-5882,돈코츠라멘 맛집. 가게도 깔끔하다. 다찌석만 있어서 혼밥하기도 좋은 분위기. 대부분 웨이팅이 있는 편.,FALSE,null,11:30~20:00,11:30~22:00,매주 일요일 정기휴무,일식,9000,15000,129.3300785,36.0077448
1018,RED,가정초밥,효자본점,효자,경북 포항시 남구 효자동길2번길 3 효자역전종합상가 1층,054-241-8383,밥약 국룰 초밥집. 분위기가 좋고 메뉴가 무난해서 대체로 밥약으로 한번씩은 가본 적 있는 맛집,FALSE,null,11:30~21:30,11:30~21:30,-,일식,15000,30000,129.3304577,36.0080935
1019,GREEN,영남 식육식당,-,효자,경북 포항시 남구 효자동길6번길 6 효자동길6번길6,054-272-0496,"삼겹살, 목살 등 돼지고기를 구워먹을 수 있는 고깃집. 점심 육회 비빔밥도 인기가 많다.",FALSE,null,11:00~23:00,11:00~23:00,-,고기/구이,10000,30000,129.3306886,36.0081401
1020,BLUE,혜화동 돈까스극장,포항공대점,효자,경북 포항시 남구 효자동길 8,0507-1322-9220,경양식 옛날돈까스 맛집. 식당 분위기가 좀 어두침침하긴 한데 가성비가 좋음.,FALSE,null,11:00~19:40,11:00~19:40,매주 일요일 정기휴무,일식,10000,15000,129.3303907,36.0084507
1021,BLUE,효자동 쌀국수 미,-,효자,경북 포항시 남구 효자동길6번길 7 1층 효자동쌀국수미,0507-1430-9056,쌀국수와 분짜가 맛있는 베트남음식 맛집. 다찌석과 4인석 모두 있어서 자리는 넉넉한 편이다.,FALSE,null,11:30~21:00,11:30~21:00,점심 라스트오더 14:30,아시안,11000,15000,129.330727,36.0083682
1022,BLUE,참서리,-,효자,경북 포항시 남구 효자동길10번길 11 조은마을빌라,054-273-2825,제육볶음보다 13배쯤 맛있는 미친 초벌구이와 볶음밥. 아주머니들께서 매우 친절하심.,FALSE,null,11:00~21:00,11:00~21:00,-,한식,15000,20000,129.3309868,36.0086482
1023,BLUE,어리닭갈비,-,효자,경북 포항시 남구 효자동길6번길 11,054-281-9332,"점심에는 철판닭갈비, 저녁에는 숯불닭갈비를 파는 닭갈비 맛집. 주방에서 모두 볶아주셔서 매우 편하다.",FALSE,null,11:00~21:30,11:30~21:00,-,고기/구이,11000,20000,129.3312459,36.0084864
1024,PURPLE,복숭A,포항효자점,효자,경북 포항시 남구 효자동길10번길 15-1,0507-1363-6114,효자 3대 술집 중 하나. 분위기가 좋고 각종 병맥주를 꺼내마시는 맛이 일품인 감성술집.,FALSE,null,18:00~03:00,18:00~03:00,매주 일요일 정기휴무,양식,20000,30000,129.3315238,36.0087233
1025,RED,효자동 수 우동,-,효자,경북 포항시 남구 효자동길6번길 19 1층,054-614-0708,분위기가 아주 괜찮은 일본식 덮밥/우동 맛집. 깔끔하고 정갈한 한상 차림으로 나와서 만족스럽다.,FALSE,null,-,-,"영업시간 요일별 상이, 확인 필요",일식,9000,20000,129.3320943,36.0086453
1026,PURPLE,효자동파전,-,효자,경북 포항시 남구 효자동길6번길 26,054-278-5617,효자 시장 안에 있는 술집. 전 뿐만 아니라 다양한 안주를 팔아서 원하는 메뉴로 골라 먹기 좋다.,FALSE,null,17:00~01:00,17:00~01:00,-,한식,15000,30000,129.3327748,36.0085896
1027,BLUE,백반집 효자,-,효자,경북 포항시 남구 효자동길6번길 20 1층,0507-1490-1009,"김치찌개, 된장찌개 등을 파는 일반적인 백반집. 가성비가 좋고 아주 맛있어서 자주 갔다.",FALSE,null,11:00~14:00,-,매주 주말 정기휴무,한식,7000,10000,129.3320491,36.0084412
1028,BLUE,홍운반점,-,효자,경북 포항시 남구 효자동길6번길 23 1층,0507-1329-2727,보통 배달로 많이 시켜먹는 국룰 중국집. 매장에서 먹을 수도 있다. 탕수육 양이 많으니 조심할 것.,FALSE,null,10:30~21:00,10:30~21:00,매주 월요일 정기휴무,중식,5000,15000,129.3325447,36.0087181
1029,RED,라멘 베라보,-,효자,경북 포항시 남구 효자동길6번길 25-1 1층 라멘베라보,0507-1348-3439,"효자 라멘 Top3 안에 드는 곳. 쇼유라멘과 시오라멘을 파는데, 특선라멘이 몇 주마다 계속 바뀌어서 그 맛이 있다.",FALSE,null,11:30~19:20,11:30~19:20,매주 일요일 정기휴무,일식,9000,15000,129.3327617,36.0087673
1030,PURPLE,대동집,포항효자점,효자,경북 포항시 남구 효자동길10번길 29 1층,0507-1462-1945,안주도 다양하고 전체적으로 퀄리티가 좋은 술집. 보통 사람들이 많아서 시끌시끌한 느낌이다.,FALSE,null,16:30~03:00,16:30~02:00,매주 화요일 정기휴무,고기/구이,20000,30000,129.3328546,36.0091293
1031,RED,담박집,-,효자,경북 포항시 남구 효자동길10번길 33 1F,054-275-1300,퀄리티가 미친 돈카츠 맛집. 만원대 초중반 정도에 고급 돈카츠를 즐길 수 있다. 대창덮밥도 엄청남. 분위기도 좋음.,FALSE,null,11:30~21:30,11:30~21:30,-,일식,15000,20000,129.3332751,36.009246
1032,RED,요기쿠시동,포항효자본점,효자,경북 포항시 남구 효자동길6번길 34-1 1층 요기쿠시동,0507-1473-7177,일식덮밥을 전문으로 하는 덮밥맛집. 가격대가 만원대 후반인데 보기도 좋고 맛도 좋은 집.,FALSE,null,11:20~20:10,11:20~20:10,-,일식,16000,25000,129.3336878,36.0089225
1033,YELLOW,바르벳,-,효자,경북 포항시 남구 효자동길10번길 33-12 바르벳,054-273-2266,효자 밥약 국룰 카페. 효자에 있는 몇 없는 예쁜 카페다. 규모도 커서 단체로 가기에도 좋다.,FALSE,null,11:00~21:00,11:00~21:00,명절 당일과 전날 외 정상영업,디저트,5000,15000,129.3332793,36.0097334
1034,GREEN,이동간받이,포항효자본점,SK뷰,경북 포항시 남구 효성로15번길 5-1 이동간받이 효자점,054-275-4645,통통하고 쫄깃한 갈매기살 구워먹는 고깃집. 육즙과 식감이 엄청남. 좀 비싸지만 점심 특선으로 먹으면 괜찮은 곳,FALSE,null,15:00~22:30,15:00~22:30,-,고기/구이,25000,40000,129.3353596,36.0071645
1035,BLUE,소코아,포항효자점,SK뷰,경북 포항시 남구 효성로 3 1층,0507-1432-9822,"카레 맛집. 만원대에 다양한 카레를 팔고, 카레와 밥은 모두 리필 가능하다. 거리가 살짝 멀지만 가볼만한 곳",FALSE,null,11:30~20:00,11:30~15:00,매주 일요일 정기휴무,일식,12000,16000,129.3348055,36.0072229
1036,BLUE,마라공방,포항효자동점,SK뷰,경북 포항시 남구 효성로15번길 9-9 1층,054-274-8898,무난한 마라탕집. 마라탕이 땡길 때 방문하면 좋을 듯하다. 배달도 가능.,FALSE,null,10:30~21:30,10:30~21:30,매주 월요일 정기휴무,중식,13000,28000,129.3359077,36.0073695
1037,BLUE,폭폭타이,-,SK뷰,경북 포항시 남구 효성로15번길 9-5,054-278-8842,모든 메뉴가 태국어 발음으로 적혀있는 태국음식 맛집. 태국 음식을 좋아한다면 한번쯤 가볼만함.,FALSE,null,11:30~20:30,11:30~20:30,매주 월요일 정기휴무,아시안,14000,30000,129.33588,36.0071666
1038,RED,이태리파스타,-,SK뷰,경북 포항시 남구 효성로15번길 9-3 1층,054-281-0523,슼뷰 밥약 국룰 양식집. 분위기가 좋고 맛있음. 다만 1인 주방이라 피크타임에 가면 음식 나오는 데 시간이 꽤 걸림.,FALSE,null,11:30~21:00,11:30~21:00,매주 월요일 정기휴무,양식,14000,37000,129.3358705,36.0070685
1039,RED,효자블룸모던숯불다이닝,-,SK뷰,경북 포항시 남구 효성로15번길 6 1층,0507-1388-5474,"점심에는 고기덮밥, 저녁에는 숯불 간장/양념불고기를 파는 맛집. 숯불향이 제대로다.",FALSE,null,11:30~23:00,11:30~23:00,매주 일요일 정기휴무,한식,10000,40000,129.3356361,36.0067375
1040,RED,모던중식당 도마,-,SK뷰,경북 포항시 남구 효성로15번길 20,0507-1448-0507,고급스러운 맛과 분위기의 중식집. 쟁반 짜장이 인기가 많다. 다른 요리들도 모두 맛이 좋은 편.,FALSE,null,11:30~21:00,11:30~21:00,매주 일요일 정기휴무,중식,9000,20000,129.3371632,36.0066424
1041,RED,연어선생,-,SK뷰,경북 포항시 남구 효성로15번길 27 1층,054-282-8558,"생연어 사시미와 연어 스테이크, 연어 초밥을 파는 연어 전문점. 연어를 좋아한다면 한 번쯤 방문해보기 좋다.",FALSE,null,11:30~22:00,11:30~22:00,매주 일요일 정기휴무,일식,13000,20000,129.3381957,36.0067518
1042,PURPLE,역전할머니맥주,-,SK뷰,경북 포항시 남구 효성로16번길 4 1층,054-282-1478,유명한 호프집 체인. 할맥이 여기 있다. 가게가 넓고 단체석도 있어서 회식하기도 좋다.,FALSE,null,18:00~02:00,18:00~02:00,매주 일요일 정기휴무,분식,15000,20000,129.3352508,36.0061171
1043,GREEN,38선넘은짱닭,포항효자점,SK뷰,경북 포항시 남구 효성로16번길 10 1층,0507-1313-3892,숯불에 구워먹는 숯불닭구이. 닭을 숯불에 구웠는데 맛이 없을 수가 없다.,FALSE,null,16:30~23:00,16:30~23:00,매주 일요일 정기휴무,고기/구이,10000,25000,129.335194,36.0057386
1044,PURPLE,슈쿄,효자점,SK뷰,경북 포항시 남구 효성로16번길 9-1 1층 슈쿄,0507-1441-7794,분위기가 아주 좋은 이자카야. 가격대는 좀 있지만 안주 퀄리티도 좋고 맛있다고 한다.,FALSE,null,10:00~01:00,17:00~01:00,매주 일요일 정기휴무,일식,20000,30000,129.3354723,36.0057157
1045,GREEN,깡통갈비,-,SK뷰,경북 포항시 남구 형산강북로 75,054-277-9288,가성비를 주장하는 소갈비 맛집. 당연히 완전 맛있다. 선배가 여길 사주겠다 하면 정말 아끼는 후배라는 뜻.,FALSE,null,17:00~22:00,17:00~22:00,매주 월요일 정기휴무,고기/구이,30000,40000,129.3351153,36.0050881
1046,GREEN,우리막창,효자강변점,SK뷰,경북 포항시 남구 형산강북로 77 1층,0507-1388-8578,"생막창을 기본으로 목살, 삼겹살, 오돌갈비 등을 구워먹을 수 있는 막창 맛집. 사장님의 고기 자부심을 믿어보자.",FALSE,null,17:00~23:00,17:00~23:00,-,고기/구이,15000,25000,129.3353367,36.0050566
1047,GREEN,고기굽는남자,효자점,SK뷰,경북 포항시 남구 형산강북로 87 1층,054-285-7890,대구에서 대히트를 친 ‘고기 구워주는’ 고깃집. 삼겹살과 양념갈비를 잘 구워주시니 완전 술술 넘어간다.,FALSE,null,11:30~01:00,11:30~01:00,-,고기/구이,15000,25000,129.3364475,36.0049769
1048,GREEN,헤걀라드,-,SK뷰,경북 포항시 남구 형산강북로 89,054-273-9983,장난으로라도 언급하기 무서운 최고가 파인다이닝 레스토랑. 돈 많으신 분들이 기념일 챙기러 간다고 들었다.,FALSE,null,12:00~21:00,12:00~21:00,매주 일요일 정기휴무,고기/구이,52000,88000,129.3367171,36.0049585
1049,GREEN,강변육숫간,-,SK뷰,경북 포항시 남구 효성로30번길 26-10,054-277-9993,돼지갈비가 엄청 맛있는 고깃집. 90% 초벌되어 나와서 살짝만 더 구워먹으면 된다.,FALSE,null,11:00~22:30,11:00~22:30,-,고기/구이,15000,25000,129.336215,36.005344
1050,BLUE,효자동오륙도,-,SK뷰,경북 포항시 남구 효성로 52-1,0507-1343-7117,북적이는 사람들이 인증하는 회 맛집. 포항에서 장사 잘 되는 횟집은 거를 이유가 없다.,FALSE,null,11:30~23:00,11:30~23:00,매주 월요일 정기휴무,일식,30000,40000,129.3392682,36.0059456
1051,GREEN,돼지빠,포항효자점,SK뷰,경북 포항시 남구 효성로60번길 4 1층,0507-1445-9016,"숙성 생삼겹, 숙성 생목살, 냉삼을 구워먹는 고깃집. 무난하게 맛있는 고기집이다.",FALSE,null,17:00~23:00,17:00~23:00,-,고기/구이,20000,30000,129.3400449,36.0057367
1052,RED,스물넷 스시,-,SK뷰,경북 포항시 남구 효성로60번길 8 101호,0507-1469-1197,"사시미, 초밥, 히레카츠를 파는 일식집. 깔끔하고 무난하다. 점심 특선이 가성비가 좋은 편.",FALSE,null,11:30~22:00,11:30~22:00,매주 토요일 정기휴무,일식,20000,30000,129.3399842,36.0053487
1053,GREEN,미남장어,효자점,SK뷰,경북 포항시 남구 형산강북로 113,0507-1397-5599,강변 앞 민물장어 구워먹는 식당. 늘 사람이 많다. 장어답게 가격은 비싸지만 맛있다.,FALSE,null,11:30~22:00,11:30~22:00,-,,30000,50000,129.3393922,36.0046955
1054,RED,미카도스시,포항효자점,SK뷰,경북 포항시 남구 형산강북로 115 1층,054-277-3535,"강변 앞 회전초밥 맛집. 한 접시당 1,900원을 받는 가성비 회전초밥집이다.",FALSE,null,11:30~20:50,11:30~20:50,주말 브레이크타임 없음,일식,12000,20000,129.3395988,36.004681
1055,YELLOW,핸즈커피,효자강변점,SK뷰,경북 포항시 남구 효성로64번길 16,054-275-3477,형산강이 보이는 리버뷰 대형 카페. 매장이 넓고 대화하기 좋은 분위기다.,FALSE,null,10:30~23:00,10:30~23:00,-,디저트,5000,15000,129.3403869,36.0046441
1056,RED,식탐,-,SK뷰,경북 포항시 남구 형산강북로 125,054-272-3389,강변가에 분위기 아주 좋은 파스타집. 밥약하기에 분위기가 괜찮아서 꽤 자주 가는 곳이다.,FALSE,null,11:30~21:00,11:30~21:00,매주 월요일 정기휴무,양식,14000,20000,129.3408239,36.004617
1057,PURPLE,토산 전집,-,SK뷰,경북 포항시 남구 효성로64번길 5 1층,054-285-0665,각종 전을 안주로 하는 술집. 양을 되게 많이 주는 집이라 가성비 술집으로 알려져있다.,FALSE,null,16:00~24:00,16:00~24:00,"매달 1, 3번째 일요일 정기휴무",한식,15000,20000,129.3409422,36.0054673
1058,PURPLE,밀회관,포항효자점,SK뷰,경북 포항시 남구 효성로82번길 6-2,054-275-8190,바비큐와 불고기 화이타 등을 안주로 하는 수제맥주 호프집. 안주와 술 모두 다양해서 골라먹기 좋다.,FALSE,null,17:30~00:30,17:30~01:00,매주 일요일 정기휴무,고기/구이,20000,30000,129.3423928,36.00564
1059,BLUE,낚시꾼의 집,-,SK뷰,경북 포항시 남구 효성로63번길 8,054-232-7373,6시 내 고향에 나왔다는 횟집. 가격이 좀 비싼 편이긴 하지만 구성이 알차다.,FALSE,null,11:00~22:00,11:00~22:00,"매달 1, 3번째 월요일 정기휴무",일식,20000,30000,129.3410845,36.0067064
1060,GREEN,효자 흑돼지,-,SK뷰,경북 포항시 남구 효성로93번길 30-26 1층,0507-1337-3221,흑돼지 삼겹살을 구워먹을 수 있는 고깃집. 숯불에 구워먹는 흑돼지가 맛없기는 힘들다.,FALSE,null,16:00~22:00,16:00~22:00,다섯번째 일요일 휴무,고기/구이,20000,30000,129.3416493,36.0074457
1061,RED,청춘밥상,-,이동,경북 포항시 남구 대이로189번길 4,054-614-4715,규카츠가 맛있는 일식 맛집. 개인 화로에 살살 구워먹는 맛이 일품이다. 밥약으로도 자주 가는 곳.,FALSE,null,11:00~20:30,11:00~20:30,매주 일요일 정기휴무,일식,10000,15000,129.3379143,36.0318595
1062,PURPLE,수목화,-,이동,경북 포항시 남구 대이로189번길 5-1 1층 수목화,0507-1447-8932,분위기 좋고 인테리어 예쁜 감성 다이닝바. 코스 요리가 4만원으로 가격이 나쁘지 않다.,FALSE,null,11:00~22:00,11:00~22:00,매주 월요일 정기휴무,양식,15000,40000,129.3379346,36.0316156
1063,RED,샤브향,포항대이동점,이동,경북 포항시 남구 대이로189번길 11-11,0507-1424-7026,이동볼링장 바로 옆에 있는 샤브샤브집. 샤브샤브를 제대로 즐기고 싶으면 여기가 괜찮음,FALSE,null,11:00~21:30,11:00~21:30,-,고기/구이,14000,25000,129.3376821,36.0308231
1064,GREEN,고기굽는남자,이동점,이동,경북 포항시 남구 대이로159번길 12,054-614-7766,이동에도 있는 고기 구워주는 고깃집. 삼겹살이랑 양념갈비가 엄청 맛있다.,FALSE,null,17:00~01:00,16:00~01:00,-,고기/구이,15000,25000,129.3379413,36.0290719
1065,GREEN,이동숯불닭갈비,-,이동,경북 포항시 남구 대이로159번길 11-11 가동 1층,0507-1376-1387,숯불에 양념한 닭고기를 굽는데 이게 어떻게 맛이 없음… 없어서 못먹지..,FALSE,null,16:30~24:00,16:30~24:00,-,고기/구이,13000,20000,129.3387993,36.0283528
1066,GREEN,금고,-,이동,경북 포항시 남구 대이로143번길 12-10 1층 금고(금돼지고깃집),054-282-9888,교수님이 사주셔서 다녀왔는데… 여기 삼겹살을 먹고는 교수가 되고 싶어졌습니다,FALSE,null,16:30~24:00,16:30~24:00,매주 월요일 정기휴무,고기/구이,20000,30000,129.3389352,36.0281264
1067,GREEN,하얀돼지,-,이동,경북 포항시 남구 대이로143번길 12-5 하얀돼지,0507-1376-2266,"오겹살, 삼겹살, 목살을 파는 두툼한 돼지고기 구이 식당. 포항 로컬 돼지고기 맛집이다.",FALSE,null,16:00~22:00,16:00~22:00,매주 일요일 정기휴무,고기/구이,20000,40000,129.3385481,36.0279233
1068,BLUE,낙성대곱창,-,이동,경북 포항시 남구 대이로143번길 12,054-272-4167,"유명한 곱창구이 맛집. 곱창이 부드럽고, 볶음밥은 선택이 아닌 필수라고 한다.",FALSE,null,18:00~24:00,18:00~24:00,매주 일요일 정기휴무,고기/구이,20000,30000,129.3387184,36.0276275
1069,GREEN,해시태그92,-,이동,경북 포항시 남구 대이로143번길 17-6 해시태그92,0507-1444-0137,여기도 구워주는 삼겹살 맛집. 돼지갈비도 참 맛있다고 함. 특이하게도 돼지꼬리를 판다.,FALSE,null,16:00~23:00,16:00~23:00,"매달 2, 4번째 일요일 정기휴무",고기/구이,12000,20000,129.3383296,36.0270326
1070,GREEN,육풍 이동점,-,이동,경북 포항시 남구 대이로127번길 18-4 육풍,054-278-9666,"숙성생삽겹살, 숙성생목살을 비롯하여 항정살, 가브리살 등 돼지고기를 구워먹는 식당. 항정살, 가브리살 굿",FALSE,null,17:00~23:00,17:00~23:00,-,고기/구이,15000,25000,129.3388805,36.0266853
1071,RED,등촌샤브칼국수,포항점,이동,경북 포항시 남구 대이로143번길 5-1,054-272-9345,유명한 샤브칼국수 체인. 밥약으로 자주 가는 곳이다. 공대생 야채추가가 된다. 볶음밥까지 먹어줘야 완성!,FALSE,null,11:00~21:30,11:00~21:30,매주 월요일 정기휴무,한식,14000,20000,129.339823,36.0275337
1072,BLUE,화로상회,포항이동점,이동,경북 포항시 남구 포스코대로 125,0507-1471-5770,"이동 최고의 무한리필 고깃집. 성인은 19,500원. 웬만한 고깃집보다 맛있는 무한리필집이다.",FALSE,null,12:00~23:00,12:00~23:00,매주 월요일 정기휴무,고기/구이,20000,25000,129.3393552,36.0260276
1073,BLUE,피슈마라홍탕,포항이동점,이동,경북 포항시 남구 포스코대로 127 1층 108호 109호,054-275-3600,마라 러버들이 입을 모아 맛있다고 하는 마라탕집. 마라탕이 땡기면 이 곳으로 가보자,FALSE,null,11:30~21:30,11:30~21:30,매주 수요일 정기휴무,중식,7000,15000,129.3399115,36.0260529
1074,GREEN,현대음식,-,유강,경북 포항시 남구 새천년대로 213 현대음식,010-9378-8119,캠핑장 형태로 고기를 구워먹는 식당. 가성비가 괜찮고 단체 회식이나 모임하기 좋아서 단체로 자주 감.,FALSE,null,12:00~22:00,12:00~21:30,매주 일요일 정기휴무,고기/구이,10000,20000,129.3249938,36.0055249
1075,BLUE,사리나무꽃이피는집,-,유강,경북 포항시 남구 유동길 54-5,054-275-5355,오리주물럭과 부대찌개를 파는 식당. 오리주물럭이나 부대찌개가 땡기면 여기로 가자.,FALSE,null,11:00~21:00,11:00~21:00,매주 토요일 정기휴무,한식,10000,20000,129.3233357,36.0060901
1076,BLUE,흑룡강,-,유강,경북 포항시 남구 연일읍 유강길10번길 26-12 1층 흑룡강반점,054-278-7005,"효자에 홍운이 있다면 유강에는 흑룡강이 있다. 비슷한 중국집인데, 맛이 확실히 다름.",FALSE,null,10:00~21:00,10:00~21:00,매주 월요일 정기휴무,중식,8000,15000,129.322684,36.0053905
1077,BLUE,짬뽕프로,-,유강,경북 포항시 남구 연일읍 유강길10번길 26-6,0507-1305-2122,흑룡강 바로 옆에 있는 짬뽕 전문점. 짬뽕은 여기가 잘한다고 함. 둘 다 가보고 비교해보는 건 어떨지.,FALSE,null,11:00~20:00,11:00~20:00,매주 토요일 정기휴무,중식,6000,12000,129.3224154,36.005322
1078,RED,샤브향,포항유강점,유강,경북 포항시 남구 연일읍 유강길10번길 26 가동 1층,054-249-3434,이동에도 있는 샤브샤브 전문점. 제일 기본 메뉴로 시켜나 야채와 버섯이 무한리필이다.,FALSE,null,11:10~21:00,11:10~21:00,-,한식,17000,28000,129.3222092,36.0055979
1079,BLUE,시골여행,유강직영점,유강,경북 포항시 남구 연일읍 유강길10번길 34-2,0507-1396-8399,"들깨칼국수, 바지락칼국수 등 칼숙수를 파는 식당이다. 해물파전도 바삭하니 평이 좋은 편.",FALSE,null,11:00~20:30,11:00~20:30,매주 토요일 정기휴무,한식,9000,11000,129.3221227,36.0059646
1080,RED,이키이키,-,유강,경북 포항시 남구 연일읍 유강길10번길 26-4 1층,0507-1464-8118,두툼한 두께를 자랑하는 돈까스 식당이다. 맛있는데 은근 사람들이 잘 모름.,FALSE,null,11:00~20:00,11:00~20:00,매주 일요일 정기휴무,일식,8000,10000,129.3222651,36.0052174
1081,RED,산갈래닭갈비,유강점,유강,경북 포항시 남구 연일읍 유강길17번길 21,054-274-0138,그렇게 맛있다는 닭갈비 맛집. 볶음밥까지 볶아먹으면 만족도가 엄청나다고.,FALSE,null,11:00~22:00,11:30~22:00,매주 토요일 정기휴무,고기/구이,13500,16000,129.3170235,36.0039388
1082,BLUE,강산생선구이,-,유강,경북 포항시 남구 연일읍 유강길9번길 20 강산생선구이,0507-1465-3977,생선모듬구이와 돌솥밥을 파는 곳이다. MZ하진 않지만 오히려 이런 제대로 된 밥이 땡길 때가 있음.,FALSE,null,11:00~20:30,11:00~20:30,-,한식,14000,16000,129.3172207,36.00374
